ticket_id,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
1,7,11,12,18,23,27,37,52,56,70
2,4,5,12,17,25,28,29,49,62,67
3,8,10,12,24,29,38,40,52,53,66
4,11,20,28,32,35,39,49,53,67,68
5,6,10,17,18,25,26,38,39,51,55
6,13,18,22,27,34,45,47,49,55,64
7,2,29,32,35,39,45,57,60,68,69
8,1,3,7,13,44,50,57,59,60,64
9,2,21,22,23,39,46,49,50,66,69
10,2,10,21,23,34,40,45,54,63,68
11,10,11,13,20,22,29,37,66,68,69
12,5,8,25,28,29,35,36,44,58,66
13,1,13,24,39,41,44,48,53,61,70
14,8,14,18,27,30,37,50,51,52,54
15,9,19,22,30,42,53,54,66,67,69
16,6,14,19,30,31,35,44,45,50,55
17,15,16,36,40,42,43,53,61,63,69
18,1,17,24,25,27,34,44,45,46,51
19,8,18,30,32,36,42,44,60,68,69
20,2,20,24,27,30,35,50,58,63,66
21,11,13,19,21,22,33,47,52,57,63
22,5,7,10,17,20,21,33,36,45,64
23,3,6,9,20,25,26,27,28,37,58
24,14,18,25,32,35,37,38,39,45,63
25,13,23,29,33,47,53,56,59,61,69
26,2,12,25,31,36,38,45,52,61,65
27,3,8,10,28,45,49,50,55,66,69
28,10,12,16,21,22,41,51,52,66,69
29,2,3,7,33,48,50,53,63,67,70
30,7,9,15,26,29,33,55,58,65,70
31,6,34,36,37,40,43,54,55,65,69
32,16,18,38,40,45,46,56,58,59,62
33,1,6,21,23,27,44,49,62,67,68
34,2,8,9,20,22,23,24,27,38,49
35,1,8,11,13,15,29,34,53,54,57
36,8,12,14,26,27,32,40,46,49,66
37,5,11,17,20,29,32,36,37,42,53
38,18,21,32,33,36,46,49,50,60,67
39,7,9,12,21,29,36,38,39,48,61
40,11,17,21,23,29,31,34,38,50,67
41,27,32,39,41,42,44,53,54,57,68
42,4,9,13,45,54,56,61,66,67,70
43,10,17,23,29,38,43,51,56,59,65
44,1,7,8,30,40,45,49,59,60,61
45,26,42,43,45,46,48,55,57,58,69
46,5,12,15,16,17,27,46,47,57,61
47,4,12,13,14,28,30,32,53,61,62
48,15,19,25,31,32,36,58,63,64,69
49,13,22,24,30,33,42,45,46,52,65
50,2,7,16,17,32,42,50,52,54,59
51,2,19,25,31,45,49,54,57,67,68
52,3,15,16,30,31,36,44,51,60,68
53,2,10,18,24,45,57,61,62,66,69
54,1,6,13,20,28,29,43,54,55,62
55,11,14,19,27,39,40,48,49,57,67
56,12,17,32,37,38,57,64,65,66,68
57,15,16,22,23,34,37,38,64,67,69
58,5,25,27,31,33,47,58,60,61,64
59,13,15,21,22,24,31,35,53,57,59
60,12,21,26,27,28,29,33,51,55,66
61,12,24,28,30,42,48,50,60,61,62
62,9,13,14,16,18,24,43,49,53,55
63,2,6,15,18,21,35,37,42,45,69
64,3,8,9,15,17,29,51,58,63,70
65,4,23,25,34,36,41,51,52,61,62
66,3,14,16,17,25,26,39,66,69,70
67,11,16,23,34,40,44,47,51,52,56
68,3,7,8,10,13,14,18,37,40,69
69,4,8,12,17,20,22,53,56,58,59
70,10,13,20,21,23,36,55,57,63,66
71,19,23,30,32,42,45,50,55,63,69
72,2,27,42,44,57,58,62,63,65,66
73,10,15,39,40,48,50,60,62,65,69
74,7,8,20,37,39,40,44,46,52,61
75,4,11,21,22,26,30,31,44,49,51
76,11,12,20,25,43,48,58,60,64,70
77,3,5,6,11,19,32,36,51,53,56
78,7,13,17,28,46,50,51,52,58,70
79,6,12,13,19,32,35,41,47,62,68
80,34,36,37,44,46,59,61,68,69,70
81,18,21,24,26,31,45,55,61,68,70
82,8,11,16,25,28,32,35,45,47,59
83,2,10,16,19,26,30,52,56,65,69
84,10,11,17,31,35,39,42,47,48,65
85,2,19,22,23,24,25,26,27,31,42
86,11,23,25,35,36,38,39,51,60,66
87,3,5,8,12,15,29,43,46,53,62
88,1,7,11,14,18,24,27,29,34,52
89,1,28,31,35,37,49,50,53,65,66
90,6,11,18,24,35,36,54,58,59,69
91,9,10,11,17,26,30,36,37,52,66
92,10,16,17,20,25,33,34,58,64,66
93,2,5,6,25,29,34,45,47,55,61
94,3,12,22,24,25,26,48,57,61,66
95,2,7,20,24,26,38,43,49,60,63
96,1,11,13,25,27,34,35,38,49,54
97,6,11,14,21,37,38,41,48,64,69
98,6,8,16,22,24,37,42,47,69,70
99,5,31,36,42,48,51,53,55,68,70
100,9,13,30,33,39,43,45,46,49,54
101,14,30,34,45,50,51,57,65,66,68
102,30,39,41,44,46,50,57,63,65,67
103,10,15,18,24,36,38,44,54,58,69
104,20,26,29,33,35,39,57,62,65,68
105,11,17,21,32,39,42,44,59,66,68
106,1,9,13,17,28,35,49,54,62,65
107,17,19,28,51,53,54,56,65,66,68
