ticket_id,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
1,2,17,18,25,29,43,51,59,60,67
2,3,7,15,27,30,40,42,45,50,62
3,4,19,20,24,28,44,52,53,56,62
4,7,8,25,29,30,35,46,47,66,69
5,7,19,37,45,46,48,54,62,67,69
6,9,15,17,22,28,31,34,45,46,66
7,1,13,15,23,36,53,58,61,62,68
8,2,6,18,26,30,33,34,41,59,64
9,5,19,28,36,39,41,43,52,66,68
10,2,11,23,28,59,60,63,64,67,69
11,9,19,20,29,39,43,49,51,59,62
12,12,33,37,45,48,64,65,68,69,70
13,8,28,29,32,33,34,44,55,57,69
14,3,6,15,22,25,38,53,57,66,67
15,4,6,36,37,41,42,46,52,54,67
16,9,11,12,17,21,38,43,47,56,70
17,3,19,33,34,40,42,48,58,63,66
18,14,20,23,27,33,34,45,47,52,63
19,1,8,11,14,26,27,36,49,58,60
20,2,16,25,31,32,37,53,54,58,60
21,4,5,9,15,18,26,36,41,44,46
22,1,12,28,29,41,48,54,58,61,70
23,4,6,11,13,25,57,60,62,65,70
24,11,16,27,39,40,43,44,53,60,64
25,4,10,14,26,30,36,49,58,63,69
26,5,16,18,25,33,34,48,50,53,69
27,3,6,24,30,37,51,54,58,62,65
28,2,6,22,25,32,35,37,46,59,64
29,1,8,13,14,24,37,41,47,48,54
30,3,5,12,19,27,33,38,49,67,68
31,4,13,15,18,24,43,50,54,61,70
32,4,16,20,21,22,39,43,50,60,62
33,3,7,20,30,39,41,43,52,66,68
34,3,8,9,10,12,17,23,34,50,54
35,5,10,12,14,16,26,38,52,57,68
36,3,5,15,21,31,33,37,43,57,69
37,11,12,16,19,21,34,37,55,63,70
38,18,29,32,33,34,47,50,54,57,69
39,7,9,14,20,23,35,39,47,56,61
40,20,22,24,34,41,50,56,60,61,63
41,18,21,31,33,35,37,38,52,54,58
42,1,5,7,10,20,22,25,29,41,43
43,1,19,31,34,37,47,48,50,53,67
44,3,4,13,33,40,44,49,55,63,65
45,1,3,5,12,14,16,22,37,43,52
46,4,11,12,14,18,24,29,39,65,67
47,15,17,24,31,34,37,44,54,59,61
48,15,26,27,28,30,36,48,55,58,65
49,6,10,14,16,18,26,37,53,55,67
50,1,7,8,24,29,30,40,45,54,60
51,7,10,16,28,38,44,51,55,64,67
52,3,10,30,32,36,40,43,46,48,63
53,7,23,27,29,30,31,34,37,47,55
54,12,21,31,33,36,51,58,64,67,69
55,8,17,19,28,29,49,50,54,57,59
56,2,18,24,26,38,39,52,59,61,65
57,4,15,20,26,36,38,39,41,60,61
58,3,7,10,12,22,27,48,53,57,62
59,5,12,15,44,46,48,56,59,60,61
60,7,14,17,19,28,33,34,43,45,49
61,5,12,13,20,21,45,48,51,62,70
62,2,23,25,32,34,40,48,53,54,57
63,2,3,4,18,30,35,39,52,53,67
64,4,14,22,25,26,39,49,57,66,67
65,14,17,24,25,29,31,36,38,59,61
66,6,12,13,45,51,55,58,66,67,68
67,10,14,20,21,25,31,36,38,50,60
68,1,5,16,17,24,26,27,33,37,45
69,3,19,22,23,24,26,27,43,64,65
70,2,5,7,12,14,22,37,42,61,67
71,3,7,13,14,42,47,55,61,68,69
72,1,7,22,24,27,28,45,47,52,62
73,21,30,32,34,38,40,56,59,68,70
74,1,3,8,16,23,27,41,53,60,67
75,1,3,6,23,25,34,35,51,66,67
76,2,3,5,20,22,30,34,50,62,70
77,23,29,33,37,40,45,52,53,56,61
78,8,17,31,38,39,42,51,65,66,69
79,2,22,23,25,32,33,40,42,56,67
80,1,6,7,9,10,19,20,29,41,42
81,3,12,22,26,31,39,50,53,66,67
82,6,19,21,30,32,34,35,51,67,70
83,5,29,30,41,46,48,50,52,56,70
84,1,4,9,13,30,38,47,49,52,68
85,5,23,27,35,42,56,57,60,61,66
86,2,3,9,11,14,33,42,50,57,70
87,1,8,10,13,19,27,29,49,59,63
88,6,7,12,17,20,25,35,57,63,70
89,22,31,48,49,53,54,58,59,62,69
90,8,13,15,18,19,21,25,29,58,65
91,5,22,23,24,33,35,52,57,65,69
92,7,8,13,25,29,34,42,45,51,54
93,1,9,10,16,26,33,35,55,58,67
94,6,7,30,35,37,40,41,53,59,60
95,2,17,19,28,30,33,45,51,63,65
96,2,5,9,10,16,34,38,40,48,60
97,1,18,21,25,33,36,46,48,50,52
98,2,9,10,20,23,27,30,37,38,66
99,9,15,22,32,37,56,58,60,64,65
100,14,45,48,50,51,62,63,65,67,70
101,5,11,20,26,28,32,33,35,39,45
102,15,35,44,46,48,49,55,57,59,60
103,8,16,20,24,27,36,51,57,58,66
104,13,17,30,40,48,49,54,58,66,69
105,2,13,15,22,23,24,28,40,53,62
106,16,20,31,39,44,49,50,55,58,60
107,2,10,14,17,20,24,28,29,63,65
108,1,5,11,24,34,35,43,49,54,69
109,5,8,10,19,24,35,46,52,58,64
110,26,30,31,32,40,42,50,55,60,66
111,2,3,5,18,24,40,47,49,54,62
112,10,12,22,24,30,34,48,53,62,66
113,1,8,11,28,35,40,42,55,56,59
114,5,27,29,31,35,37,43,57,58,70
115,5,28,29,37,41,44,55,60,64,66
116,7,14,23,26,29,42,48,52,61,70
117,1,7,10,13,14,15,17,18,19,29
118,8,11,18,22,32,45,46,54,60,65
119,1,8,16,22,30,41,42,46,63,70
120,11,22,23,28,46,49,53,55,58,63
121,14,32,48,50,51,53,56,63,64,65
122,4,14,20,34,39,44,47,62,63,68
123,7,16,23,27,29,49,59,61,64,66
124,7,11,12,15,19,24,28,41,53,67
125,8,13,18,25,30,45,46,48,54,65
126,5,8,28,41,42,43,52,60,66,70
127,12,15,24,26,34,43,49,54,56,58
128,2,7,15,21,26,37,45,49,68,70
129,8,19,30,35,51,57,61,62,65,68
130,11,15,23,34,35,40,47,51,63,67
131,1,18,28,31,36,37,43,52,61,63
132,5,7,10,15,29,38,42,52,62,67
133,16,20,24,30,31,37,43,56,59,70
134,4,11,16,25,44,46,55,58,62,67
135,1,4,12,25,29,46,49,52,57,68
136,5,22,23,27,31,32,51,59,67,68
137,9,10,14,16,18,28,47,52,65,68
138,2,14,22,25,46,47,62,64,68,70
139,2,3,6,10,11,15,29,39,49,62
140,5,7,14,16,19,28,30,56,57,69
141,34,40,44,45,46,52,54,56,63,65
142,2,8,9,12,14,16,43,45,49,70
143,16,23,26,27,30,38,54,63,66,67
144,32,35,36,45,59,61,62,63,64,68
145,10,16,17,21,26,27,36,63,66,68
146,1,4,5,7,12,19,21,22,29,65
147,2,12,28,48,52,54,60,61,63,66
148,15,18,20,23,32,33,40,47,48,53
149,2,5,12,19,30,38,47,56,60,65
150,6,9,21,33,42,58,59,61,63,66
151,3,8,16,29,30,40,44,47,60,62
152,8,24,31,32,38,43,45,56,60,61
153,2,5,6,27,37,48,53,60,64,67
154,9,12,15,20,35,39,44,50,60,68
155,6,7,8,10,12,13,19,24,54,60
156,2,17,29,30,31,34,38,42,51,67
157,5,14,21,34,41,43,52,56,62,66
158,6,16,25,27,29,38,46,49,52,54
159,2,9,13,32,42,45,55,57,58,69
160,3,6,13,26,27,32,39,44,54,61
161,4,12,14,23,38,48,57,59,64,68
162,15,17,25,27,33,38,42,54,56,68
163,5,15,18,19,32,33,38,49,55,70
164,11,18,20,36,37,38,44,52,54,59
165,7,8,17,20,23,25,29,55,58,66
166,3,5,11,12,14,35,40,48,60,67
167,13,15,24,28,40,55,57,59,63,67
168,10,16,19,24,26,42,46,47,52,54
169,7,15,22,25,29,37,43,55,60,70
170,2,3,8,18,23,25,30,31,46,53
171,4,7,25,28,29,30,41,46,48,54
172,13,18,23,30,44,53,59,61,65,67
173,2,14,21,25,28,32,50,55,57,67
174,16,19,34,37,39,41,49,58,62,65
175,14,21,34,50,52,56,62,64,66,67
176,1,10,18,19,39,43,44,45,54,61
177,5,14,15,19,32,33,45,49,62,63
178,6,26,33,34,36,45,50,64,67,69
179,1,17,28,29,30,50,60,64,66,67
180,11,16,17,21,29,32,36,49,51,56
181,4,6,10,12,30,36,43,44,48,52
182,13,14,22,25,26,27,37,56,57,61
183,3,5,11,15,22,26,32,57,69,70
184,13,14,20,23,36,42,43,54,55,60
185,5,9,11,13,16,36,43,47,54,55
186,2,3,8,11,12,33,42,48,67,68
187,4,7,8,18,23,30,40,47,58,70
188,8,26,30,33,35,38,43,45,59,60
189,4,5,15,16,17,20,44,52,54,56
190,2,25,31,35,40,50,51,53,55,65
191,11,12,14,21,22,24,28,42,50,70
192,3,20,22,24,29,30,55,56,57,61
193,1,5,13,24,29,39,41,56,63,64
194,6,9,16,22,30,32,34,42,50,58
195,9,15,24,30,43,44,46,55,56,68
196,2,12,14,20,38,46,52,56,57,66
197,3,9,19,20,24,27,35,52,57,70
198,12,14,15,17,22,32,39,51,63,68
199,2,3,16,29,30,37,38,56,64,66
